,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
CD47,0.57159263,-0.05184803,0.883939246,0.000712341,0.620851729,-0.009210287,0.76629602,-0.009262322,0.397504091,-0.003281989
HSPA5,0.682066015,-0.016748217,0.975978466,6.58E-05,0.775638645,-0.002084678,0.470744927,-0.008409687,0.399629609,-0.001975704
CYP3A5,0.996045989,-0.000210849,0.433580821,-0.001802719,0.979122763,0.000199926,0.286117596,-0.014312856,0.40060143,-0.001989045
FCGBP,0.77592847,0.011616902,0.427165126,0.001732231,0.442337415,0.005619654,0.895828563,0.001528559,0.400892479,-0.001972135
CLTC,0.385806186,-0.035469836,0.27835183,-0.002369947,0.458800149,-0.005432876,0.575504162,0.006552486,0.401758296,-0.001973494
ARPC1A,0.898947551,-0.015668077,0.244486381,-0.007744568,0.53077209,0.015701932,0.532929591,-0.024480732,0.406095378,-0.004258045
RAB11A,0.155709544,-0.05885853,0.984274538,4.37E-05,0.231851034,-0.008919304,0.359091304,-0.010913074,0.406232539,-0.00198258
MME,0.093073721,-0.113198415,0.11856259,-0.005867021,0.446507392,-0.009145386,0.017918778,-0.054416509,0.408531449,-0.003744557
DCXR,0.839353984,0.00827683,0.823690427,-0.000486391,0.418001475,0.005925973,0.519678903,-0.007516978,0.410448339,-0.001933084
HM13,0.047231662,-0.090106666,0.212312668,-0.003077816,0.122869495,-0.012486085,0.142689902,-0.020339485,0.411183041,-0.00239464
DPP4,0.42152995,0.032910955,0.881956953,0.000327368,0.101391746,0.012006639,0.242222631,0.013651035,0.411690414,-0.001927725
EWSR1,0.566496577,-0.026062398,0.22085983,-0.002948758,0.624087347,-0.003879775,0.169030647,-0.018798515,0.412040217,0.002046517
RPS15A,0.261590029,-0.061514682,0.819062076,0.00068117,0.243125556,-0.011249369,0.430741098,-0.014407329,0.412991972,-0.00221443
ACAT1,0.207767448,-0.051445117,0.256950351,-0.00247587,0.191844945,-0.009555025,0.560511616,0.006804775,0.413473254,-0.001923032
FASN,0.419546852,0.032868614,0.161194656,0.003047765,0.216410733,0.009018805,0.211749774,0.01453524,0.414934806,-0.001910242
