,HP,PRE,RA,RA_P,RA_N
PFN1,0.10367445,0.03592977,0.052128875,0.047030087,0.055205445
PGK1,0.06826862,0.1075046,0.093513911,0.100238411,0.051097865
PGLYRP2,2.229526,1.626012,1.126040181,1.209527102,0.726228539
PGM2,0.1560894,0.21986345,0.235050828,0.238685373,0.234565719
PHB2,0.2514187,0.15089435,0.136530033,0.147268936,0.060696935
PLP2,0.37170925,0.7100425,1.747235391,2.324712396,0.311235969
PLS3,0.1210374,0.27154695,0.204159243,0.203349066,0.204084882
PPBP,0.68623215,1.031848,0.77731323,0.77731323,0.634089091
PPIB,0.1933931,0.11337265,0.082401192,0.102072818,0.050407377
PRDX1,0.1551193,0.074994495,0.062222828,0.080654431,0.042835577
PRDX2,0.4423255,0.12413425,0.105980048,0.115546309,0.075383287
PRDX5,3.422425,0.07600221,0.066799372,0.071302128,0.047046318
PRKCSH,0.07355334,0.12805885,0.088431561,0.085775229,0.105710491
PRMT1,0.1066544,0.1916343,0.234628536,0.237371011,0.212542669
PSAP,0.09557841,0.15207815,0.111415609,0.151356794,0.030471437
PSMA4,0.2875405,0.17161205,0.225800441,0.234440729,0.120001622
PSMA5,0.12161975,0.1886822,0.122935364,0.139423212,0.044954896
PSMA7,0.18790395,0.10804605,0.136475611,0.149669559,0.088315048
PSMB6,0.1323102,0.223673,0.219209286,0.226857847,0.194439542
PSMC5,0.1115298,0.2071345,0.140629681,0.140629681,0.126313093
PSMD11,0.1512475,0.79606955,0.174296584,0.173905472,0.171342893
PSMD13,0.2737215,0.18765365,0.181454475,0.177555273,0.217886397
PSMD3,0.1371257,0.093185555,0.089409751,0.089344426,0.088573551
PTBP1,0.1227656,0.343227,0.259510802,0.262897416,0.210221605
PTGR1,0.2161082,0.1336375,0.138066701,0.156785157,0.040181272
PTMS,0.2798848,0.16745305,0.293835208,0.351620135,0.100840409
RAB10,0.2299671,0.1261994,0.140342628,0.13922131,0.069868381
RAB11A,1.142838,0.221567,0.192262231,0.192262231,0.185127088
RAB21,0.09567311,0.16376445,0.189118976,0.195393024,0.139985077
RAB7A,0.10481115,0.15833985,0.145863011,0.156079818,0.082521172
RAB8A,0.1609937,0.07244152,0.066202857,0.080447485,0.053518485
RAD23B,0.1951004,0.1236447,0.135972863,0.149807095,0.089707103
RAN,0.1734474,0.11932415,0.10119042,0.116096319,0.039098824
RAP1A,0.2329872,0.1456365,0.144309413,0.165179925,0.113350449
RBMXL1,0.2092116,0.0919204,0.080356552,0.073755086,0.096715238
RBP4,0.84369205,1.405565,0.998872198,1.05813892,0.594141353
