colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
ALDH1B1,0.070486918,0.7723544,0.088328085,0.2982323,0,0,0
MAOA,0.630752155,0.832727143,0.689250786,0.000680227,0,0,0
AHCY,0.717371151,0.470998598,0.38767718,0.609435589,0,0,0
RAN,0.388193743,0.170148034,0.148540976,0.360920652,0,0,0
GNB2,0.730409861,0.009603612,0.894146701,0.152744789,0,0,0
XRCC6,0.923477868,0.474908593,0.622500553,0.298373703,0,0,0
ACOT1,0.671012592,0.267791215,0.31445959,0.053866805,0,0,0
SERPINF2,0.321825294,0.211079386,0.953766254,0.356102398,0,0,0
ATP5F1,0.303279808,0.905013811,0.358540348,0.173571785,0,0,0
CAV1,0.782023162,0.383616804,0.585931729,0.366488558,0,0,0
RPS11,0.039505495,0.389086639,0.05932515,0.20474196,0,0,0
C6,0.299439017,0.214410906,0.768153667,0.281117422,0,0,0
MME,0.063895501,0.027438416,0.436726726,0.640490999,0,0,0
AK2,0.589852636,0.659738176,0.911415577,0.577369745,0,0,0
COPA,0.797495815,0.539188176,0.537467894,0.204987309,0,0,0
KATNAL2,0.513402698,0.531498695,0.830841369,0.604072556,0,0,0
ITGA6,0.957491144,0.446001476,0.384274263,0.513668775,0,0,0
ARPC5,0.41249228,0.406497675,0.976384228,0.552065771,0,0,0
PSMB2,0.937903914,0.279768099,0.426786597,0.134439596,0,0,0
TST,0.283224685,0.422469495,0.945806469,0.885487466,1,0,0
BHMT,0.382672454,0.085413626,0.104350008,0.499580786,0,0,0
PRDX2,0.997016323,0.157666422,0.938622511,0.631539389,0,0,0
SERPINA5,0.444446578,0.181360832,0.912232479,0.941326458,0,0,0
CPB2,0.084513729,0.667480057,0.063717637,0.97653429,0,0,0
ARF6,0.99393253,0.775655255,0.471625739,0.060920174,0,0,0
TKT,0.699971796,0.661871609,0.402094684,0.118121222,0,0,0
ETFDH,0.857536138,0.063812128,0.650124956,0.00293846,0,0,0
ARPC4,0.097075269,0.214833495,0.451558117,0.802819346,0,0,0
ILK,0.114010515,0.905591027,0.45977501,0.241700424,0,0,0
BAAT,0.125827584,0.969184719,0.409207609,0.844501234,0,0,0
MGST1,0.459928504,0.965253478,0.483147285,0.175218754,0,0,0
RPL14,0.9484474,0.738968385,0.519415542,0.069638787,0,0,0
SERPIND1,0.852754685,0.449183471,0.162029072,0.476104967,0,0,0
PSMB6,0.485527074,0.366600992,0.760375623,0.892448759,0,0,0
COMT,0.101392872,0.323619322,0.257737402,0.760883214,0,0,0
F2,0.705197975,0.847404366,0.052079765,0.927246319,0,0,0
RHOA,0.952540645,0.54780673,0.785573935,0.091207115,0,0,0
OGDH,0.689923372,0.687667977,0.221877635,0.08696188,0,0,0
ITIH2,0.329818288,0.021912305,0.593977245,0.72242537,0,0,0
ETFB,0.669482097,0.273970914,0.416140791,0.061727221,0,0,0
SLC25A3,0.743882299,0.557893186,0.332101663,0.230363123,0,0,0
RPL18,0.0718367,0.822474687,0.342548777,0.014966771,0,0,0
IGHV3-15,0.968299015,0.805389898,0.413772669,0.010496653,0,0,0
